road_node,lat,lon,weight
26411640,22.2503365,114.1699636,97.46907806396484
26412251,22.267109,114.1514696,347.1140556335449
30747334,22.296485,114.1721995,116.19243621826172
33004530,22.2988324,114.16936,533.7515106201172
33004534,22.3014436,114.1679667,657.9519195556641
33004677,22.2977677,114.1784272,129.39111328125
33476497,22.3044393,114.1675993,119.8732681274414
33476500,22.3058563,114.1668472,110.50495147705078
33476501,22.3065045,114.1670616,419.3876037597656
33476549,22.294724,114.1713365,280.05638122558594
33476552,22.2981104,114.1710381,779.1431274414062
50060666,22.343858,114.1534919,468.5748291015625
73523441,22.4214999,114.2689673,29.551738739013672
165998789,22.2775889,114.1716218,268.2991943359375
186355433,22.3016347,114.0112755,133.9494171142578
232076366,22.3080585,113.9372416,68.907470703125
232076485,22.3044508,113.9360582,131.19070434570312
232076687,22.3023797,113.9356652,250.11767196655273
232076849,22.2966593,113.9361288,69.30559539794922
232077561,22.3010223,113.9746962,237.2466220855713
232200869,22.2902365,114.1405539,1236.4006042480469
232216521,22.274465,114.1753313,121.6356201171875
232221477,22.2751103,114.1779126,118.42570495605467
232221479,22.2744555,114.1776035,121.61740112304688
232221586,22.2661771,114.1842752,122.36537170410156
232221594,22.2660794,114.1843803,120.66429138183594
232230172,22.2669536,114.1622026,78.80683898925781
236675147,22.2839132,114.1515572,1144.45263671875
236675154,22.2825546,114.1533234,597.4684448242188
237492208,22.2817052,114.1515577,624.1408081054688
237492225,22.2833999,114.1476236,716.7526245117188
239978277,22.2709558,114.2333119,2645.5972290039062
239978278,22.270993,114.2334138,1215.6785888671875
239990433,22.2784325,114.1614558,233.88092803955078
239990443,22.2775773,114.1594452,101.5092544555664
239990447,22.2763958,114.1577891,193.57156372070312
239994475,22.2836759,114.2239529,688.3118896484375
239994496,22.2897606,114.2152082,2814.378173828125
239994930,22.2852528,114.1916226,201.40951538085935
239994932,22.2829939,114.1912175,749.2466354370117
240004295,22.28351,114.15513,109.12836456298828
241833128,22.2834951,114.1524744,600.6426391601562
243845374,22.2806787,114.1743027,237.17515563964844
245088222,22.32696,114.1781156,456.7404174804688
245088408,22.2867443,114.1475666,529.3519287109375
249968570,22.2767166,114.1812971,256.9187316894531
249970397,22.36044,114.2541848,882.4539051055908
249970419,22.351355,114.2530485,257.2125473022461
249970441,22.3387839,114.258807,578.2245826721191
249970491,22.3172977,114.2650337,3808.929443359375
249970497,22.3162698,114.2664624,2553.48828125
249970499,22.3154865,114.2658663,4887.20263671875
249970500,22.3150571,114.2654148,4183.836669921875
249974973,22.373616,114.2609677,304.47122955322266
249975642,22.3821494,114.2709986,446.99427795410156
249975651,22.3777183,114.2649611,277.23999786376953
249975652,22.3771978,114.2645186,54.89599609375
249975656,22.3761958,114.2630564,35.45713424682617
249975802,22.3722857,114.2600833,245.09962463378906
249975809,22.3679023,114.2600264,308.6123580932617
249980219,22.382275,114.2731051,84.29945373535156
249980243,22.3947235,114.2779133,182.7362518310547
249980263,22.3964777,114.2859451,236.46163940429688
249980294,22.3915499,114.2971725,88.36237716674805
249980340,22.4000087,114.3238147,191.643798828125
249981050,22.4315533,114.3274544,14.42304801940918
251083380,22.2793176,114.1550349,552.6798706054688
252187666,22.2188356,114.212614,152.75209045410156
253020938,22.3067098,114.2216278,528.5900535583496
253287504,22.2839242,114.1389646,1213.7962951660156
253287703,22.284189,114.1440194,273.3136901855469
253290814,22.2857165,114.1399694,772.6452026367188
253311582,22.2818337,114.1233256,2306.435348510742
253311593,22.2721541,114.1211158,472.22979736328125
253311598,22.2731688,114.1268948,654.9043617248535
253311601,22.271483,114.1272496,609.7673873901367
253311607,22.2661983,114.1282212,677.5068511962891
253311890,22.2615705,114.1291521,385.3802719116211
253313409,22.2851051,114.1436187,2835.950927734375
253313537,22.28363,114.14655,1198.5484008789062
253313721,22.2852157,114.1407009,843.529052734375
253313951,22.2842475,114.143611,318.807861328125
253314015,22.2857021,114.1407208,810.512939453125
253314016,22.2856057,114.1436494,1364.8509521484375
253314082,22.2861053,114.1436828,1944.4592895507812
253314295,22.2858173,114.1389664,799.7725219726562
253314400,22.285751,114.1368738,1658.9710693359375
253314403,22.2868657,114.1437217,1478.156494140625
253314404,22.2871103,114.1448003,662.9116821289062
253315130,22.2865897,114.1402343,682.2147216796875
253315131,22.2864743,114.143707,1404.6114501953125
253315226,22.2858959,114.1382798,802.3614501953125
253315227,22.2864441,114.1383558,520.2255859375
253315365,22.286737,114.1322958,428.4651489257813
253331259,22.2882261,114.1392205,385.49456787109375
253332974,22.2889991,114.146121,2486.6275634765625
253333456,22.2883168,114.1483483,487.6324157714844
253337339,22.3197504,113.9363107,31.73273658752441
253337813,22.3202801,113.9370125,169.38128662109375
253337897,22.3112968,113.9364862,84.41633772850037
253338026,22.3141158,113.9396015,26.666364669799805
253338083,22.3140959,113.941488,31.189115524291992
253338189,22.3199711,113.9365414,58.552040100097656
253338676,22.3036138,113.938298,56.46108818054199
253338930,22.3135407,113.9400787,32.564910888671875
253338936,22.304053,113.9364968,73.29704284667969
256011286,22.2824855,114.1439373,721.5466003417969
256014727,22.2530954,114.1585848,224.45197105407715
256014750,22.2522273,114.1576259,164.7117919921875
256014956,22.2507635,114.1564441,2698.0416259765625
256014957,22.2505395,114.1564266,6430.074462890625
256015035,22.2497813,114.156029,558.5445556640625
256015573,22.2482325,114.151778,802.19775390625
256015760,22.2485847,114.1500193,1221.9989624023438
256015937,22.2493342,114.1455774,820.0602722167969
256016231,22.2518447,114.1409805,3413.468505859375
256016264,22.2533621,114.1393987,601.2402954101562
256017552,22.2615185,114.136126,771.2419891357422
256017920,22.2742643,114.1299601,90.90423583984376
256018303,22.2815438,114.1320382,2847.9322509765625
256361666,22.2492821,114.1556932,646.1080322265625
256363241,22.2476602,114.1548724,677.3138427734375
257006540,22.2849788,114.218781,910.0492553710938
257171440,22.2761759,114.1766921,381.484375
257171469,22.2755052,114.1767746,500.12376403808594
257171471,22.2765025,114.1765358,419.9930725097656
257171479,22.2768692,114.1775822,385.3673095703125
257504095,22.277776,114.1783095,432.36822509765625
259971929,22.2576194,114.1926647,56.471309661865234
260139017,22.3976135,114.2108733,442.8739643096924
260139782,22.3990152,114.2121153,1805.0731582641602
261738996,22.2686233,114.2378975,1058.298828125
261738997,22.2723539,114.2393283,2322.399688720703
261739794,22.3528636,114.2499954,193.77862548828125
261740032,22.3534567,114.2499482,102.25694274902344
261740855,22.3767889,114.2650364,54.073184967041016
261740858,22.3787816,114.2670978,627.099967956543
261740861,22.3789318,114.2683106,212.3900146484375
261740868,22.3791284,114.2702816,252.8625259399414
261740876,22.3798704,114.2682155,228.00547790527344
261741452,22.3787891,114.2679747,139.25159454345703
261741665,22.3756045,114.2685039,168.06924629211426
261741813,22.380904,114.2728658,299.5013198852539
261741854,22.3818312,114.2716877,532.5080642700195
261742200,22.3827081,114.2725444,107.74772644042967
261742516,22.3855436,114.2714615,141.34832763671875
262120312,22.3334538,114.2124396,1011.6553344726562
262120933,22.3342366,114.2274471,265.67874908447266
262120934,22.3342296,114.2284382,84.37696838378906
262120944,22.3344445,114.2389126,25.69264411926269
262122106,22.326699,114.2266284,2988.6292114257812
262122582,22.327135,114.2255993,4386.252960205078
262122762,22.3153141,114.2398041,1288.4256591796875
262122763,22.3150363,114.2400448,643.2570190429688
262123049,22.3124231,114.2267091,1217.5762939453125
262123054,22.3122112,114.2260995,142.0458526611328
262134350,22.4278655,114.2456442,1954.5146179199219
262134352,22.425851,114.2437279,4123.978584289551
262134362,22.4139484,114.2279398,216.39796447753903
262134800,22.4263779,114.2440132,2019.4925537109375
262147534,22.2874109,114.1363273,524.9129028320312
262966462,22.4064786,114.2172605,767.9775161743164
262966891,22.3817617,114.2158791,1899.4650497436523
262966892,22.38249,114.215272,1430.853515625
262967420,22.3816016,114.2138031,2142.3671264648438
267052770,22.3732636,114.0708719,557.3089752197266
268637360,22.3866229,114.1908878,915.9082565307617
268637364,22.3898885,114.194331,3196.907211303711
268637380,22.4019187,114.2040847,1032.8755416870117
268637381,22.4030662,114.2050857,575.569507598877
268637386,22.4055784,114.2083593,223.73790740966797
268637389,22.4085526,114.2115661,706.2518177032471
268637911,22.3763276,114.1230687,2013.5422058105469
268637920,22.381041,114.1339428,800.739143371582
271052939,22.2847481,114.1927409,230.32342529296875
271053039,22.2812734,114.1709294,408.052001953125
274240805,22.2864258,114.1604748,177.26427459716797
274240807,22.2863623,114.1607375,255.6087417602539
274240904,22.2875,114.15506,173.3877182006836
274241038,22.2868385,114.1554232,88.10662078857422
274241644,22.2858165,114.1561947,89.51231384277344
274241647,22.28059,114.17098,246.6690216064453
274242530,22.2481395,114.1548028,1600.4021606445312
274243013,22.3274701,114.1587402,382.6333618164063
274243086,22.3117971,114.1673946,407.91412353515625
274244483,22.3145145,114.2204955,129.39356994628906
274244747,22.335611,114.1489722,262.512451171875
274244749,22.3351188,114.1473228,495.4146270751953
274258040,22.3539658,114.1251447,45.98162841796875
274258383,22.360372,114.1192726,202.55452728271484
274258761,22.3648916,114.1145708,3210.7071228027344
274258768,22.3682529,114.1109286,3376.7676849365234
274258774,22.3724129,114.106547,180.7684783935547
274258800,22.3739861,114.1020195,1871.0721740722656
274260842,22.3715552,114.0787403,372.9078903198242
274261942,22.4002343,113.9768933,90.52161407470705
274261943,22.4013098,113.9771104,123.02268981933594
274261956,22.4128425,113.9797768,722.0778656005859
274262449,22.4168804,113.981622,90.38533020019533
274262614,22.4118787,113.9822757,252.3319091796875
274262622,22.4087323,113.980847,250.9104156494141
274263017,22.372833,113.9929905,777.5616569519043
274263259,22.413781,113.9800607,270.1374816894531
274264769,22.3943161,113.9778639,382.5807876586914
274265907,22.3673517,114.0595442,1145.5160522460938
274265912,22.3672624,114.0630129,139.03712463378906
274266582,22.3680228,114.0920028,131.2191925048828
274266892,22.3686233,114.0972997,448.2445068359375
274266900,22.3741678,114.1046962,1369.0205993652344
274477794,22.2874166,114.1919359,218.30393981933597
274477917,22.2920129,114.1987647,1951.5810546875
274478283,22.2925655,114.2013941,5948.8504638671875
274480055,22.2774476,114.1777858,440.20111083984375
275810915,22.3412922,114.1989462,537.0657958984375
275810920,22.3416498,114.1967601,1426.7639770507812
275812084,22.3732051,114.1166937,794.4105834960938
275812087,22.3751182,114.1118848,851.2362670898438
275812088,22.3754473,114.1104549,255.945068359375
275816026,22.3310248,114.1542549,360.743896484375
275867198,22.3271885,114.2549767,147.10894012451172
275867219,22.3178557,114.2616702,7123.5140380859375
275871157,22.3637375,114.1196448,122.78430938720705
275871779,22.3696636,114.1127515,471.5650939941406
275909450,22.3275985,114.1587839,492.3080139160156
275922253,22.3311815,114.1664541,804.4276733398438
275924531,22.3359757,114.175387,149.9605255126953
275924540,22.3299504,114.1749214,147.26576232910156
275935761,22.3289764,114.1744266,507.7728576660156
275935771,22.3273509,114.1720562,409.5695495605469
275945418,22.3156488,114.1718679,389.4608612060547
275945763,22.3224019,114.1710549,683.21875
275949265,22.322802,114.1878267,3308.1782836914062
276169638,22.2993992,114.1820916,625.8144607543945
276169900,22.3144314,114.1810483,713.0851745605469
276169925,22.3114257,114.1800651,1093.1117248535156
276169958,22.3269956,114.178846,453.13597106933594
276170567,22.2979141,114.2408105,3869.621826171875
276361549,22.3135252,114.2296668,1720.8760375976562
276363691,22.2988359,114.2308737,569.8403472900391
276363694,22.2990198,114.229679,486.72534942626953
276366859,22.3399045,114.1982286,283.0307922363281
276366865,22.3451824,114.1991451,2287.0408935546875
276372857,22.312658,114.1689849,399.0201110839844
276373355,22.3128531,114.1701052,412.7854309082031
276374341,22.3067981,114.1696157,1026.53564453125
276378622,22.3135475,114.1864201,1285.5065460205078
278943556,22.2872294,114.1572819,246.77581787109375
278943901,22.2861767,114.2199001,2391.6612548828125
278943904,22.2861775,114.2165424,796.4141235351562
278943905,22.2861764,114.2151962,1745.9054565429688
278943984,22.2842876,114.2180682,1335.250732421875
278944406,22.2852275,114.220979,801.51123046875
278945391,22.2825829,114.2160078,4518.562255859375
278945618,22.2862793,114.2200109,1179.2711181640625
278945620,22.2873163,114.2197316,2218.013427734375
278947172,22.3460932,114.1912863,4350.6268310546875
278947206,22.3464608,114.1874081,4605.143127441406
278947783,22.3276159,114.1572093,315.9408874511719
